index,period,minute,second,possession,duration,statsbomb_xg,penalty_taken_at_home,home_score,away_score,match_week,player_team_name,player_name,player_position,foot,technique,keeper_name,keeper_team_name,competition_name,competition_stage,stadium,direction,outcome
297,2,75,9,136,0.733,0.76,1,1,2,3,38,67,19,1,1,86,22,2,1,52,9,1
298,2,50,24,101,0.56,0.76,1,1,2,3,53,165,23,1,1,47,2,2,1,54,8,1
299,2,61,34,114,0.573,0.76,0,0,3,3,73,7,8,1,1,46,55,2,1,9,9,1
300,2,92,52,170,0.427,0.76,0,2,2,3,25,18,22,0,1,137,88,2,1,65,9,0
301,1,3,28,5,0.68,0.76,1,3,3,1,58,29,9,1,1,32,84,2,1,43,7,1
302,1,12,42,19,0.84,0.76,1,4,3,4,33,12,23,0,1,47,2,2,4,75,2,1
303,4,115,47,207,0.578,0.76,1,1,1,4,26,109,11,1,1,80,25,2,4,65,8,0
304,5,120,7,215,0.307,0.76,0,1,1,4,27,25,24,1,1,29,22,2,4,65,5,0
305,5,120,57,217,0.493,0.76,1,1,1,4,26,131,12,1,1,80,25,2,4,65,2,0
306,5,121,52,219,0.347,0.76,0,1,1,4,27,161,17,1,1,29,22,2,4,65,9,1
307,5,122,36,220,0.813,0.76,1,1,1,4,26,8,9,1,1,80,25,2,4,65,5,1
308,5,123,29,221,0.4,0.76,0,1,1,4,27,129,10,1,1,29,22,2,4,65,5,1
309,5,124,16,222,0.48,0.76,1,1,1,4,26,109,11,1,1,80,25,2,4,65,2,1
310,5,125,7,223,0.32,0.76,0,1,1,4,27,101,19,1,1,29,22,2,4,65,3,0
311,5,126,15,225,0.36,0.76,1,1,1,4,26,89,7,0,1,80,25,2,4,65,5,0
312,5,127,7,227,0.36,0.76,0,1,1,4,27,137,3,1,1,29,22,2,4,65,2,0
313,5,128,4,229,0.493,0.76,1,1,1,4,26,73,20,1,1,80,25,2,4,65,5,1
