player_team_name,player_name,player_position,foot,technique,keeper_name,keeper_team_name,competition_name,competition_stage,stadium,direction
Barcelona,Lionel Andrés Messi Cuccittini,Center Forward,Left Foot,Normal,Andrés Palop Cervera,Sevilla,La Liga,Regular Season,Camp Nou,RL
Levante,Emilio José Viqueira Moure,Left Defensive Midfield,Right Foot,Normal,Víctor Valdés Arribas,Barcelona,La Liga,Regular Season,Estadio Ciudad de Valencia,RL
Racing Santander,Ezequiel Marcelo Garay,Left Center Back,Right Foot,Normal,Víctor Valdés Arribas,Barcelona,La Liga,Regular Season,Camp Nou,LL
Barcelona,Lionel Andrés Messi Cuccittini,Left Wing,Left Foot,Normal,David Cobeño Iglesias,Almería,La Liga,Regular Season,Camp Nou,CH
Mallorca,Jonás Manuel Gutiérrez,Left Wing,Right Foot,Normal,Víctor Valdés Arribas,Barcelona,La Liga,Regular Season,Camp Nou,CL
United States Women's,Megan Rapinoe,Left Wing,Right Foot,Normal,Sandra Paños García-Villamil,Spain Women's,Women's World Cup,Round of 16,Stade Auguste-Delaune II,LL
United States Women's,Megan Rapinoe,Left Wing,Right Foot,Normal,Sandra Paños García-Villamil,Spain Women's,Women's World Cup,Round of 16,Stade Auguste-Delaune II,LL
Barcelona,Ronaldo de Assis Moreira,Left Wing,Right Foot,Normal,Pedro Gonzalez Contreras Cano,Real Betis,La Liga,Regular Season,Camp Nou,
Canada Women's,Janine Beckie,Right Back,Right Foot,Normal,Rut Hedvig Lindahl,Sweden Women's,Women's World Cup,Round of 16,Parc des Princes,LL
Barcelona,Ronaldo de Assis Moreira,Left Wing,Right Foot,Normal,Francesc Arnau,Málaga,La Liga,Regular Season,Camp Nou,
Barcelona,Ronaldo de Assis Moreira,Left Wing,Right Foot,Normal,Gorka Iraizoz Moreno,Athletic Bilbao,La Liga,Regular Season,Camp Nou,LL
Barcelona,Ronaldo de Assis Moreira,Left Wing,Right Foot,Normal,Gustavo Adolfo Munúa Vera,Deportivo La Coruna,La Liga,Regular Season,Camp Nou,RL
Barcelona,Ronaldo de Assis Moreira,Left Wing,Right Foot,Normal,Dudú Aouate,Deportivo La Coruna,La Liga,Regular Season,Estadio Abanca-Riazor,RL
